"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BLUE_LED";"LED3MM";"LED3MM";"LED3MM";"";"";"";"";"";
"C1";"0.1uF";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"";"";"";"";
"C2";"0.1uF";"C-US025-024X044";"C025-024X044";"CAPACITOR, American symbol";"";"";"";"";
"D1";"1N4728";"1N4728";"DO41Z10";"Z DIODE";"";"";"";"";
"GREEN_LED";"LED3MM";"LED3MM";"LED3MM";"";"";"";"";"";
"IC1";"LM358N";"LM358N";"DIL08";"OP AMP also LM158; LM258; LM2904";"";"";"";"";
"IC2";"LM358N";"LM358N";"DIL08";"OP AMP also LM158; LM258; LM2904";"";"";"";"";
"IC3";"LM336LP";"LM336LP";"TO92";"2.5-V INTEGRATED REFERENCE CIRCUITS";"";"";"";"";
"Q1";"BC557";"BC557";"TO92";"PNP Transistor";"";"";"";"";
"Q2";"BC557";"BC557";"TO92";"PNP Transistor";"";"";"";"";
"R1";"470";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R2";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R3";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R4";"1.2k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R5";"1k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R6";"2.7k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R7";"68k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R9";"100k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R10";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R11";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R12";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R13";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R14";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R15";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"R16";"1k";"R-US_0204/7";"0204/7";"RESISTOR, American symbol";"";"";"";"";
"RED_LED";"LED3MM";"LED3MM";"LED3MM";"";"";"";"";"";
"SL1";"";"M02";"02P";"AMP QUICK CONNECTOR";"";"";"unknown";"unknown";
"U$1";"USB(POWER)";"USB(POWER)";"USB(POWER)";"";"";"";"";"";
